,movie_title,review_content,review_score
45,Alexander the Great,a colossal bore,2/5
46,Alfie,"The question the film asks is, ""Why not?"" Surely life is to be enjoyed? The answer is grimmer than you expect.",3/5
47,Neverwas,...unlikely to find much of an audience outside of the film festival circuit.,2/4
48,The Second Chance,... a sincerely (if not exactly subtly) performed spiritual drama with a faith-based lesson in humility and the practical charity of offering a helping hand.,C+
49,Moonlight,"With no common language, these two connect instantly -- perhaps it's the blood -- and embark on an emotionally wrenching journey in this visually appealing, occasionally heavy-handed thriller from Paula van der Oest.",3.5/5
50,Aliens,Scott's tension-building atmospherics are replaced by Cameron's high-octane punch.,A
51,Rise: Blood Hunter,"[Director] Gutierrez sustains a heightened mood of sex and violence that, without breaking new ground, entertains in the way Gothic flicks do: a combination of cheap thrills and a good old-fashioned crusade against evil.",2.5/4
52,All About Eve,"All About Eve (1950), is a realistic, dramatic depiction of show business and backstage life of Broadway and the New York theater. The devastating debunking of stage and theatrical characters was...",A
53,When Do We Eat?,"Making The Family Stone's shenanigans and schmaltz seem downright sophisticated by comparison, Salvador Litvak's Passover-themed film gives Jews an insufferable holiday family comedy to call their own.",1/4
54,The Mostly Unfabulous Social Life of Ethan Green,audiences both gay and straight should enjoy the comical and romantic hijinks.,B+
55,Dirty,"Not entirely successful, but it's as twisted as a James Ellroy novel, and it may please genre fans who don't require the transubstantiation of spilled blood into the holy water of redemption.",2/4
56,Stay Alive,This game is so over.,D-
57,All of Me,Steve Martin's brilliant physical comedy is only the highlight of this satisfying little giggle-fest.,4.5/5
58,Dreamland,"After all the put-upon jokes about trailer trash, finally here is a place where the terminology of community really defines itself.",3/4
59,Independent Lens,Nowhere near as probing as it could or should be. Valuable points are blunted by too many talking heads.,2/4
60,All the King's Men,"Rossen's film chronicles this life of raw power with compelling scenes, and Crawford's performance is well-supported by the rest of the cast.",5/5
61,Street Fight,Street Fight sputters with anger and despair at the durability of dumb-cluck demagoguery in American politics.,3/4
62,Lost Horizon,"Just dull and forgettable, not the so-bad-it's-good camp classic some people insist.",1/5
63,The Motel,Funny and real.,3/4
64,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"Such a heady combination of greed, girls and goals, all set to a pulsating funk background, should provide even a hardened football refusenik with 90 minutes (+ stoppage time) of entertainment.",4/5
65,Requiem,...never quite as compelling as Hller's performance...,2.5/4
66,Gui si (Silk),"Depois de prender a ateno do pblico durante sua metade inicial graas a idias e momentos interessantes, o roteiro se perde sem maiores avisos, transformando-se em uma baguna capaz de levar at mesmo o mais paciente dos espectadores  loucura.",2/5
67,Park,"It's a hilarious, crowd-pleasing film about everything from honesty to sex to freedom that's definitely smart without being too overbearing.",4/5
68,The 4th Dimension,"Annoying, pretentious and impossible to follow.",1.5/5
69,"Bon Cop, Bad Cop","Accessible and entertaining, with enough local flavor to seem exotic to English viewers. Not only that, but it's FUN.",3/5
70,Amazing Grace,A terrific subject becomes a tepid morality play.,2/5
71,The Silence,"Stylish, sexy and deeply emotionally resonant.",3/4
72,Cocaine Cowboys,Informative documentary filmmaking that belongs as much on library shelves and agency case files as in your local theatre.,5/5
73,Gone,"In the end, the script lets the film down with its obvious twists, its naggingly illogical narrative and a general pointlessness.",2.5/5
74,The Situation,"Having served my duty by pointing out the main failures of the film, it's equally obligatory to say that by film's end you have a better understanding of the opposing interests that are deconstructing Iraq than media coverage conveys.",2.5/5
75,Snow Blind,"Snow Blind calls itself a documentary, but it never stops feeling like the in-house channel on a ski-lodge television.",2/5
76,Four Sheets to the Wind,A film with some wonderfuly oddball comedy while also being a very heart-felt statement about expanding on the person you are and finding your true voice.,3.5/5
77,The Tiger's Tail,"John Boorman's self-indulgent ""moral fable"" has promise ..., but like the dueling entrepreneurs who populate one strand of the narrative, delivers more sizzle than steak.",2/5
78,It's a Boy Girl Thing,"A worthy addition to the bodyswap genre, thanks to a decent script and superb performances from its likeable leads.",3/5
79,Slipstream,A visual masterpiece and an amazing achievement in cinematography and editing.,8/10
80,Delirious,"Just when you're sure you know how Delirious is going to close, DiCillo comes up with a capper that's as satisfying as it is understated.",4/5
81,Interview,"To their credit, Miller and Buscemi engage the audience's interest in what is essentially an extended conversation.",3/5
82,American Anthem,"A large portion of the movie is given over to gymnastics competitions, which are not explained or photographed well enough to be very interesting.",0.5/4
83,The Ten,"Hilarious stuff, though many of the segments go on too long, so that the gags tend to wear out their welcome.",7/10
84,The Happening,"The movie demonstrates a smart movie geek's obsession with the rhythms and gory details of horror storytelling, undermined by a pompous insistence on spiritual lessons of the tritest kind.",C
85,Molière,"Tirard's risk-free approach of of the life of French comedy's reformer, is as light-hearted and cooky, as Lassel Hallstrom's Casanova, just starring Moliere instead of the infamous womanizer, albeit with a much more European cast.",2.5/5
86,Straightheads (Closure),Exploitative and depressing.,2/5
87,Borderland,"Berman balances the weight of the actual events with the desire to mount a simply effective horror story, and I think he pulls it off quite well.",3.5/5
88,Spiral,"""The camera moves are jarring at times and soothing at others ... a skillful, well crafted piece.""",4/5
89,Alexandra,"Though not a top-notch Sokurov, his new film is a conceptually fascinating meditation on war seen from the perspective of an older woman who visits the battle front.",B
90,Blood and Tears: The Arab-Israeli Conflict,"'A small house can accommodate hundreds of friends, but can't accommodate two enemies,' the doctor says ruefully, quoting an Arab proverb. Sadly, Blood and Tears is the proof.",3.5/5
91,The Cool School,Morgan Neville's quick-paced documentary The Cool School recounts the rise and fall of Ferus Gallery and the mark it made on American art.,2.5/4
92,Pathology,"An intense, sexy medical thriller that gives us a glimpse of what CSI would look like if it were a horror.",7.5/10
93,Disney's A Christmas Carol,"A clear step in the right direction for Zemeckis and his pet techno-project, the film nonetheless ultimately sabotages itself by prizing the hectic over the heartfelt.",2/4
94,Deep Water,[An] expertly assembled and engrossing documentary.,3/5
95,Road to Victory,"... hopefully what I write might encourage someone to seek out a film. Such is the case with Road to Victory, the debut feature of writer-director-actor Mike Reilly.",B
96,Beverly Hills Chihuahua,Actually better than its premise and its trailer might lead you to expect.,3/5
97,Fireflies in the Garden,"The cast are uniformly good; it's all competent, but its somehow not completely satisfactory.",6/10
98,The Eye,"Dull, clichéd, and silly, this is yet another watered-down slice of horror cinema that will score big with teenage girls under the age of fifteen.",2/5
99,Day of the Dead,"No matter how you slice it, this one is just plain dead on arrival.",2/5
100,My Best Friend's Girl,"It's disturbing to think of the millions of teenage boys who will laugh when he insults a girl to get her in bed, or pees in a cactus plant at a restaurant.",2/5
101,The Burrowers,J.T Petty takes viewers on an unusual and frightening venture into the Old West with The Burrowers.,3.5/5
102,The Midnight Meat Train,"MEAT TRAIN is the first BOOK OF BLOOD to depart from the station in a long time and it's refreshing to see that the film carries that bleak, yet romantic touch of Clive Barker all over it... it's guaranteed to make you squirm, scream and beg for more!",7/10
103,The Lucky Ones,"Soldiers deserve a better tribute than this trite, phony dreck.",C-
104,Run Fatboy Run,Predictable sitcom but delightfully feel-goodish.,B
105,Closing Escrow,"Amid the laughs, the one thing Closing Escrow proves is this: It's a lot more fun watching other people trying to buy or sell a house than going through it yourself, particularly if Realtors like the ones here are involved.",4/5
106,Whiteout,The film's been sitting on the shelf for 2 1/2 years; maybe it went bad?,C
107,Randy and the Mob,It's a film brimming with individual scenes featuring nice visual touches about the South and comforting down-home dialogue spiced with a healthy twinge of sarcasm. Too bad the movie never completely gels.,C
108,Black Irish,The blarney isn't the only thing that's thick in writer-director Brad Gann's Black Irish.,2/4
109,Wild Child,"The movie falls apart when it tries to explain why Poppy's been sent to this school. And the Spartacus moment at her school ""trial"" for misconduct is so cringe-worthy you want to die.",6/10
110,Powder Blue,Few will remember Powder Blue as a desperate copy job of Paul Thomas Anderson's brilliant Magnolia but rather as the film where Jessica Biel finally took it all off.,1/4
111,King Corn,"An entertaining look at the flagship of American empty calories, King Corn is a few bushels short of being the next Super-Size Me, but brings a legitimate message.",7/10
112,L' Avocat de la Terreur (Terror's Advocate),"Schroeder's docu offers a chilly, poignant look at Verges, the controversial lawyer who has defended some of the world's biggest political terrorists and war criminals; it belongs in the same league of his other docus about monsters, like Idi Amin.",A-
113,Darfur Now,Its 99 minutes could have easily been about 65 if you removed all of the celebrity do-gooder filler.,2/4
114,Laaga Chunari Mein Daag - Journey of a Woman,"One can't help but sense an edgier, braver film fighting to break free.",2/4
115,Rails & Ties,"To describe the plot is to parody the film. Though impeccably acted and directed with a solemn, professional gloss, it sinks under the weight of its absurdity.",C
116,Mr. Untouchable,"Marc Levin may avoid outright idol-worship, but any restraint exhibited by his film is disingenuous.",2/4
117,House,"The only spiritual enlightenment I achieved was thinking ""Thank God that's over"" when the closing credits began to roll.",1/5
118,Canvas,Writer-director Joseph Greco's refusal to explain the roots of Mary's madness gives John's desperate desire to summon happier days a bewitching poignancy.,2.5/4
119,Skid Row,"...Skid Row too often comes to feel like a vanity project, with the focus of the film frequently shifting away from Skid Row's history and people to Pras's sketchy immersion in homelessness...",2/4
120,Saawariya,"When the most intriguing thing about a film is the production design, you know you're in trouble.",2/4
121,Aaja Nachle,"Aaja is genteel and winsome and directed with restraint. Some of the best dialogue in recent times, resting on a core of quietude.",3/4
122,Flawless,Cleverly written and brilliantly made ... the type of classy and tasteful British crime-drama that Caine has long been associated with.,8/10
123,What Happens in Vegas,"This tone-deaf flick from hack screenwriter Dana Fox, is an example of a Hollywood formula romantic comedy where the author never properly learned the recipe.",C-
124,Appaloosa,"Old fashioned Western, a meditation on honor, courage and camaraderie, is well helmed and acted, but commercially, it might fall between the cracks: It's too grown-up for young viewers and too familiar as a psychological Western for adults.",B
125,Good,"For Amorim, who only claims his second feature with Good, it's best to see the film as a next step towards honing the quality storytelling skills needed for making successful movies.",2.5/5
126,The Visitor,...rife with compelling figures that ultimately sustain the viewer's interest even through a few less-than-subtle moments.,3/4
127,Meet Bill,...basically entertaining yet entirely forgettable.,2.5/4
128,Married Life,You know you're in trouble if the wallpaper is more exciting than anything that happens in front of it.,1/5
129,Badland,"Clocking in at just under three hours, writer-director Francesco Lucente's earnest attempt at making an Iraq War-era Coming Home says many things at once without much perspective or clarity.",2.5/4
130,The Oxford Murders,"Not so terrible that you can understand why it's been practically buried by its distributors, but you can get better ridiculous whodunits on TV.",2/5
131,Untraceable,"The villain may be Untraceable, but it's easy to pin down the influences of Gregory Hoblit's serial killer snoozer.",1/4
132,The Informers,"An ugly, blank slate of a film, one that feels like a rough outline for one of the better Ellis adaptations.",1.5/5
133,Meeting Resistance,"As in Land Without Bread and The Bridge, Meeting Resistance raises all sorts of ethical questions about its making.",2.5/4
134,The Freshman,"The Freshman is a dawdling, occasionally amusing stunt.",B-
135,Guta-yubalja-deul (A Bloody Aria),Performers are convincing enough to keep audience involvement in a tale of revenge: victims become victimizers.,B
136,Kenny,The perfect antidote to any disappointing summer blockbuster.,4/5
137,The Rocker,"It's modestly entertaining, occasionally funny, and generally agreeable. I just don't think Wilson should quit his day job yet.",B-
138,The Perfect Holiday,Be grateful that Gabrielle Union and Morris Chestnut have the wherewithal to elevate a mediocre script.,2/4
139,La Graine et le Mulet (The Secret of the Grain) (Couscous),The film works on a slow burn but by the end it has become utterly engrossing.,4/5
140,Land of the Lost,"The movie's abbreviated title is LOL, which is ironic since Ferrell offers hardly a smile, much less laughter out loud.",D
141,[Rec],...this experience feels like being trapped in a haunted maze and there are images here that are the stuff of nightmares.,4/5
142,Look,A seamless mixture of riotous humor and socio-political commentary.,B+
143,And God Created Woman,Movies like this frustrate me because they do not have enough ambition to match their imagination.,2/4
144,The Box,"It may fall short of Donnie Darko's clever storytelling, but for his third feature film, Kelly plays confidently with suspense and lays down the right hooks at the right time to keep you drawn into his creepy world.",3.5/5
145,Man in the Chair,"As in Cocoon(1985), the emphasis is on sentiment, feel-good and reclaiming the elderly from the scrapheap. But the performances are nowhere near as subtle.",2/5
146,Undoing,"A smidgen of originality lies in its being a noir film with Korean characters: others nothing new, but still a watchable gangster pic.",B
147,Black Water,"There's something to be said for a chomp-em-up tale that exhibits some class, intensity, and restraint.",3.5/5
148,21,"In its desperation to deliver an action-packed suspense set piece of an ending, 21 asks the audience to suspend all disbelief, and basically begs to be laughed at.",C
149,The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe),"If you appreciate their acting, and enjoy the words of the battle between them - during which the duchess prevaricates until it is too late - it will seem fascinating.",3/5
150,Ben X,"Enriquecido ainda por uma direo de arte que ilustra a tristeza do universo de Ben, este  um projeto artisticamente ambicioso que revela sua sensibilidade particularmente atravs de seus belos dilogos.",5/5
151,Body of Lies,"DiCaprio (not Crowe) is in top form in Scott's fast-moving, visually vivid but dramatically uninvolving noirish geopolitical thriller that despite problems conveys the point that in the new war on terrorism information, not weaponry, is the key variable.",B
152,Passengers,Solely predicated on its twist ending.,1/4
153,The Grand,If you're a fan of watching poker on television and inventive comedy than The Grand is an entertaining experience that delivers on its premise.,9/10
154,The Hammer,It'll make you laugh enough so that you forget you've seen it all before.,3/5
155,Shutter,A dreary parade of the familiar...unrelentingly boring and needlessly unimaginative.,D+
156,Priest,Not terrible.,2.5/5
157,The Broken,"It's not a stalker flick or a ghost story, although it's sort of a combination of both.",4/5
158,The Escapist,Those looking for an innovative new take on the prison genre should be pleased with the latest from this talented filmmaker.,8.5/10
159,Sugar,"Directors Ryan Fleck and Anna Boden use Sugar's tale to draw attention to pertinent social and economic issues. Thankfully, they do so with a light touch and an immense feeling of sympathy for their characters.",3/5
160,Quid Pro Quo,"Has some pretty insightful things to say about the nature of being ""disabled,"" and it says them with a good deal of humor, style, and understanding.",3.5/5
161,Red,A simple tale of how love and affection can sometimes inspire some of the nastiest human emotions imaginable.,3.5/5
162,The Guitar,"To be brutally honest, there are many other things I would rather do with my final days than sit through this clichd mess all over again.",1.5/5
163,The Road,"Fortunately, the rumourmongers were wrong -- Hillcoat's vision is forthright and brutal.",4/5
164,G-Force,"G-Force has a script on autopilot, assuming that any old assortment of fart jokes, cheesy one-liners, and chase scenes will be enough to appease tots.",2/5
165,The Other Man,...pretty much cements Richard Eyre's status as a high-brow purveyor of trashy fare...,2.5/4
166,The Duchess,"It could have been an intriguing, poignant saga of a modern marriage and extraordinary femme, but what we get is a trashy melodrama that can't decide how sensationalistic to be",C+
167,The Women,"Piecemeal and earnest to a fault, this remake of George Cukor's 1939 film relies so much on the elite world of humorless, filthy rich New York women that it excludes most of its would-be target fans.",C-
168,Public Enemies,"Opinions will differ about Depp's iconic approach but this supremely mounted, painstakingly researched, well acted gangster epic is Michael Mann's most ambitious film since Heat, with insights about the mythic figure, law enforcement and broader contexts.",A-
169,Night and Day (Bam gua nat),A well-wrought Korean film about a middle-aged painter's infatuation with a pretty young art student.,3/5
170,Julia,"The film has the focused derangement of a suicide bomber...but I for one am elated to see such brazenness, such mystery, and such crazy, highwire ambition back in the movie theater.",A-
171,Angel and the Badman,Genteel Western.,C+
172,Fade to Black,"On paper this must have looked a neat idea: a wildly fictionalised account of a skid-row Orson Welles, up to his neck in political skulduggery while shooting a third-rate picture in post-war Italy.",2/5
173,Angel Heart,"Angel Heart is a thriller and a horror movie, but most of all it's an exuberant exercise in style, in which Parker and his actors have fun taking it to the limit.",3.5/4
174,Old Dogs,Trashing Old Dogs is a bit like kicking a puppy. But here goes.,1.5/4
175,Surrogates,a surprisingly strong entry into the ever-shrinking arena of serious sci-fi.,4/5
176,The Promotion,"Precise, clever, wonderfully strange, and so funny it hurts, it is simply the best studio comedy since The 40-Year Old Virgin.",A-
177,Notorious,"If there's something praiseworthy about Notorious, it's that it pulls off the remarkable, ignominious feat of making its deceased subject less likeable than one remembers.",1/4
178,Soul Men,Bernie Mac's last film before his untimely death is a let-it-rip irreverent comedy invested with Bernie's trademark brand of earthy humor.,A-
179,Igor,"John Cusack is the voice of Igor, a hunchbacked laboratory assistant to the doomed mad scientist Dr. Glickenstein (voiced by John Cleese), in this irresistible animated comedy",B
180,The Matador,fabulous,4/5
181,The Auteur,"If you don't mind a lot of smutty gags mixed with a strange concoction of wit, warmth, and (yes) melodrama, I'm betting you'll become a fan of The Auteur.",3.5/5
182,The Caller,Close but no cigar as a great international corporate mystery thriller slows to a crawl in a drawn out study of death. Frank Langella and Elliott Gould should have been used better.,6/10
183,Sin Nombre,"An honorable addition to border films about Central American immigrants, this highlight of the Sundance Film Fest offers visceral experience based on the helmer's firsthand familiarity.",B
184,Das Haus der Schlafenden Schönen (House of the Sleeping Beauties),"A meditation on life, death, sex, revenge, religion and peace that is involving despite its ponderous pace.",B
185,The Stone Angel,"These elemental forces fuel a compelling narrative, but the second half of the movie starts to drift.",2.5/4
186,Alvin and the Chipmunks: The Squeakquel,What we're offered is a succession of lifeless scenes punctuated by pratfalls that only a handful of kids in the audience found funny. Next.,1/5
187,Un Conte de Noël (A Christmas Tale),There are no martyrs in this anti-sentimental ironic movie that nevertheless percolates with emotion and accepts its quirky characters for all of their flaws.,B+
188,The Rebound,An utterly predictable entrant in the Cougedy genre sees a yummy-mummy (Zeta-Jones) and her 25 year-old babysitter (Bartha) tumble into love after she takes her two young children to a new life in New York.,2.5/5
189,Ripple Effect,"Nothing more than an elongated soap opera, sans the self-awareness.",1/5
190,"1,000 Times Good Night","Ultimately it feels like Poppe wanted to say something about a great many topics...But what he concludes on any one of these points is never clear, so the film simply meanders...",C+
191,Harold,"The low-budget high-school comedy is no 'Ferris Bueller's Day Off' but should provide for not only laughs but some insight into the life of a smart, 13-year-old outsider.",B
192,Push,"A harrowing mindbender which successfully blends elements of X-Men, The Matrix and Memento while adding some of its own unique sci-fi flava.",3.5/4
193,Felon,Felon flounders in convincingly resolving its protagonist's plight.,2.5/4
194,Scar,Blood cascades out of the screen (Titanic - in red) when blades are not in your face. Desensitisation soon sets in: too like Halloween H20.,4/10
195,The Unborn,"Exactly what you'd expect from the combination of its release date, genre, and MPAA rating",C-
196,Bitch Slap,"In any other world, this would be getting a DVD or Syfy-only release, and Jacobson's talents would be better utilized directing Playboy Channel interstitials.",4/10
197,Forever Strong,"Adhering to the belief that action scenes are more thrilling when you can't tell what the hell is going on, the director gives us just the ""highlights.""",0.5/4
198,Chocolate,"It fails to be the exploitation movie it desperately wants to be. Too much attention is paid to the tear-jerking elements, which never register because the plot is so sparse.",43/100
199,Fireproof,"If you've never heard of ""Fireproof,"" that could mean you are not a member of a faith-based community. On the other hand, it just might mean that you haven't stumbled upon this new release that packed Quad-City theaters over the weekend.",3/4
200,Dostana,"This is a great, fun entertainer with lots of charm and great music.",7/10
201,The Garden,"It's tempting to call The Garden a story of innocence and experience, of evil corrupting paradise, but that would be doing a disservice to the fascinating complexities of a classic Los Angeles conflict and an excellent doc that does them full justice.",4/5
202,Splinter,"The creature feature is loaded with blood, guts, gore, the perfect anti-hero and a hilariously fun plot, which is played straight until the very end...Wilkins delivers a simple, yet effective '80s creature feature that's not only scary, but also a great t",7/10
203,Leaves of Grass,"...worth checking out if only for Norton's phenomenal, Oscar-worthy turn as the film's diametrically opposed twins.",3/4
204,Rab Ne Bana Di Jodi (A Couple Made by God) (A Match Made in Heaven),"It's well put together, colourful, typifies Indian culture and values, is very emotional, and is a typically numbing 3 hours long. Ticks all the boxes then...",4/5
205,The Proposal,It is about as pleasing a star-driven comedy as one could reasonably expect to open in wide release during the dog days of summer.,66/100
206,Gigantic,...inevitably grows on the viewer...,2.5/4
207,Fuel,... a rousing documentary on the real costs of petrochemical dependence and the practical alternatives within reach.,B+
208,Hush,Tonderai makes good use of soulless motorway catering venues - all white strip lighting and hunched zombie drivers - but overkills his tale with a succession of improbabilities.,4/10
209,Anna Karenina,One of Garbo's best and most affecting films.,4/5
210,Orphan,Orphan works because it's a film that knows exactly what it wants to be -- creepy as all get out -- and does everything possible to achieve that goal.,3.5/5
211,My Sister's Keeper,"Cameron Diaz gives a strong dramatic performance in Cassavetes family melodrama, which begins well with poignant probing of timely issues like social engineering before turning into conventional courtroom tale that deviates from the book considerably.",C+
212,The Hangover,"Miraculously, we still like Alan and Stu and Phil even as we crack up when they get tazed and beaten. Phillips has pulled off a feat of balance that rivals Cirque du Soleil down the Strip.",4/5
213,The Stepfather,"100 minutes of dopey behavior and filmmaking inanity wrapped up tight in a bland, gutless PG-13 wooby, taking a proven premise and watering it down to a parade of nonsense created only to tickle gullible teen audiences.",D
214,Okuribito (Departures),"Takita's serio-comic look at life, death, redemption and forgiveness, is Japan's entry for the Oscars, winning audience awards in festivals, which speak well of its potential commercial appeal outside Asia.",B+
215,Boogie (Summer Holiday),"Hampered by pacing that borders on glacial, the performances infuse the story with lingering melancholy.",3/5
216,Prima Ballerina,Ballerina has the feel of a propaganda puff piece put out by the Russian tourist board.,1/6
217,Season of the Witch,It's not quite nutty enough to be a guilty pleasure.,2/5
218,Shuttle,"Nasty and dumb, a lot like Hostel without the extreme torture and gore.",2/5
219,Miss March,This Playboy fantasy farce is one of those painful comedies in which the strain to be funny shows -- always.,1/5
220,An American Affair,The central relationship remains intriguing but the later parts of the film suffer from a routine conspiracy plot.,2.5/5
221,Grace,"Covers the three essential bases of indie horror: It's scary, it's smart, and it pushes a few boundaries. An excellent debut for Paul Solet.",4.5/5
222,Endgame,There's nothing in Endgame that's less than proficient.,3/5
223,The Red Baron (Der rote Baron),"This is an ambitious attempt to tell the story of World War I's most notorious fighter pilot. But while the events are truly momentous, with thrillingly rendered aerial combat, the film is let down by lacklustre writing and direction.",2.5/5
224,The Objective,A bleak adventure flick and a very sweaty psychological thriller.,3.5/5
225,Happy Tears,"In this year's crop of Oscar-nominated shorts, the animated category beats the live-action offerings.",3/4
226,The Missing Person,"The film's second half appears primed to tread some interesting existential territory, but Buschel seems confused about what direction he means to take his material.",2/4
227,Polanski (Polanski Unauthorized),It's clear from Polanski's cramped frames that [director] Chapa knows as little about filmmaking as he does his subject.,1/5
228,Mammoth (Mammut),"It's an easy movie to snipe at, but its quest for authenticity, even in its most affluent characters, is honorable.",64/100
229,Crude,A well-balanced and thought-provoking documentary that doesn't forget the cinema-going experience needs to entertain as well as educate.,4.5/5
230,The Messenger,A n intricate dual character study.,B
231,Lake Mungo,"As a ghost story, the underplaying of the actors helps to make the mystery creepily effective, but the mockumentary format is a bit of a cop-out because it allows the filmmaker to avoid all the big dramatic scenes.",3.5/5
232,Venkovský Ucitel (The Country Teacher),A Checkhovian Czech feature with restrained performances highlights the redemption of a gay teacher who ultimately emerges from the closet.,B
233,The Apartment,"The Apartment (1960) is producer/director Billy Wilder's bittersweet, heart-rending tragi-comedy/drama of a compliant insurance clerk (Lemmon) who secretly lends out his apartment to other company executives for adulterous sexual affairs and liaisons.",A
234,Chatham (The Golden Boys),"The ambiance of early 1900 Cape Cod is a character in this all-too-slight movie that could play better on cable, DVD, or an off-off-Broadway stage.",C+
235,The Ape,"Great silly premise with Karloff skinning an ape and wearing the suit, but boring.",2/5
236,Fame,Tries to do so much in so little time that no characters or storylines get the attention they would need to succeed.,C-
237,Outrage,Hypocrites beware: Kirby Dick will have none of your shenanigans.,B+
238,Skin,Very watchable in places with moving performances but not as brave or indepth as you want it to be.,3/5
